p_mois,p_vol,p_ash,p_car,p_sul,p_hhv,p_lhv,u_car,u_hyd,u_nit,u_oxy,u_sul_exc,u_hyd_exc,u_oxy_exc
31.71,28.19,17.27,22.83,1.88,3398.9,3104.8,36.14,6,1.25,37.45,1.88,2.46,9.29
32.07,28.53,15.84,23.57,1.96,3473.5,3177.9,36.77,6.07,1.25,38.12,1.96,2.48,9.64
32.15,28.25,17.32,22.28,1.87,3346.7,3050.8,35.92,6.05,1.22,37.61,1.87,2.45,9.06
31.34,28.8,16.03,23.83,1.85,3501.6,3209.1,37.11,6.03,1.25,37.72,1.85,2.52,9.89
31.61,28.66,16.5,23.23,2.01,3449.9,3156.2,36.58,6.02,1.23,37.67,2.01,2.49,9.6
30.98,29.46,16.87,22.7,1.89,3466.6,3175.6,37.3,6.02,1.25,36.67,1.89,2.55,9.16
31.97,29.03,18.33,20.67,2.22,3235.2,2940.1,34.76,5.96,1.09,37.65,2.21,2.39,9.26
31.79,29.05,18.15,21.02,2.23,3275.2,2980.8,34.75,5.9,1.1,37.88,2.23,2.34,9.65
32.12,29.15,18.24,20.49,2.22,3230.8,2935,34.96,6.01,1.87,36.71,2.22,2.41,8.19
32.16,28.69,18.27,20.87,2.26,3255.4,2959.5,35.08,6,1.89,36.5,2.26,2.41,7.94
32.31,29.13,17.31,21.25,2.32,3311.6,3015,35.61,6.06,1.89,36.81,2.32,2.45,8.12
33.16,28.83,16.86,21.14,2.29,3290.7,2990.7,35.35,6.14,1.87,37.49,2.29,2.43,8.04
33.29,28.55,17.55,20.62,2.37,3243.2,2942.6,34.82,6.12,1.83,37.31,2.37,2.4,7.75
32.81,29.52,16.5,21.18,2.21,3325.2,3026.6,35.68,6.11,1.12,38.38,2.21,2.44,9.24
30.33,29.17,19.41,21.1,1.89,3292.5,3004.1,35.33,5.87,1.15,36.35,1.89,2.48,9.42
30.03,29.25,19.48,21.24,1.88,3317.1,3030,35.4,5.81,1.14,36.3,1.88,2.45,9.63
30.35,29.12,20.8,19.73,1.86,3212.2,2923.7,34.34,5.83,1.1,36.06,1.86,2.44,9.11
30.71,28.91,17.74,22.64,2.19,3456.8,3166.9,36.86,5.93,1.24,36.04,2.19,2.49,8.77
30.73,28.99,18.21,22.07,2.22,3422.5,3132.5,36.34,5.9,1.23,36.11,2.22,2.46,8.82
30.41,29.02,18.42,22.16,2.21,3420.3,3131.6,36.24,5.84,1.21,36.07,2.21,2.44,9.06
30.88,28.09,21.08,19.97,2.1,3211.7,2921.1,34.13,5.75,1.12,35.82,2.1,2.3,8.4
29.26,30.05,22.81,17.89,2.48,3187.1,2903.2,33.72,5.65,1.06,34.28,2.48,2.38,8.3
33.67,29.27,18.07,18.99,2.29,3138.1,2836,33.8,5.91,1.03,38.9,2.29,2.14,9
33.47,29.2,17.86,19.47,2.31,3180.9,2879.5,34.34,6.04,1.05,38.4,2.31,2.3,8.68
33.79,29.33,18.73,18.16,2.34,3092.9,2790.2,33.46,6.02,1.02,38.44,2.34,2.24,8.43
33.48,29.29,18.35,18.89,2.3,3161.6,2860.3,34.01,6.03,1.06,38.25,2.3,2.29,8.52
33.52,29.75,17.71,19.02,2.24,3188.8,2887.2,34.52,6.07,1.08,38.39,2.24,2.32,8.62
33.51,29.63,17.22,19.65,2.19,3222.8,2921.3,35,6.12,1.1,38.37,2.19,2.37,8.61
33.84,29.01,18.12,19.03,2.09,3142.1,2839.3,33.97,6.08,1.05,38.69,2.09,2.29,8.64
32.47,28.7,18.2,20.64,2.25,3243,2945.8,35.02,5.98,1.08,37.47,2.25,2.34,8.64
33.11,28.43,18.18,20.28,2.22,3200.2,2900.4,34.46,6,1.06,38.08,2.22,2.3,8.67
32.78,28.63,18.79,19.8,2.21,3165.7,2867.3,34.23,5.94,1.05,37.78,2.21,2.27,8.67
34.4,28.32,17.97,19.31,2.26,3129.3,2824.2,33.83,6.09,1.03,38.82,2.26,2.24,8.27
32.3,28.41,20.62,18.67,2.23,3066.5,2770,33.16,5.85,1.03,37.12,2.23,2.23,8.43
32.64,28.6,19.63,19.13,2.19,3128.3,2830.4,33.68,5.91,1.06,37.54,2.19,2.25,8.56
32.23,28.61,20.16,19,2.21,3116.7,2820.5,33.59,5.87,1.05,37.13,2.21,2.26,8.51
31.55,28.49,21.07,18.89,2.37,3055.6,2762.2,33.14,5.76,1.03,36.62,2.37,2.22,8.6
32.22,27.88,20.92,18.98,2.29,3021.3,2725.1,32.89,5.82,1.04,37.04,2.28,2.22,8.43
31.99,28.19,21.51,18.31,2.23,3014.9,2719.7,32.64,5.79,1.03,36.8,2.23,2.21,8.39
31.97,28.1,21.69,18.24,2.27,2980.4,2685.3,32.6,5.77,1,36.67,2.27,2.19,8.28
32.21,28.49,21.15,18.15,2.38,3016.9,2720.8,32.97,5.84,1.01,36.66,2.38,2.23,8.06
35.59,27.76,17.28,19.38,2.4,3039.6,2729.5,33.3,6.16,0.98,39.89,2.4,2.18,8.29
35.52,27.82,16.78,19.88,2.34,3088.5,2778.7,33.77,6.17,0.99,39.95,2.34,2.2,8.4
34.74,27.98,17.9,19.38,2.37,3045.2,2738.6,32.98,6.05,0.96,39.74,2.36,2.16,8.89
33.14,28.89,18.26,19.71,2.37,3136.9,2837,33.88,5.92,0.99,38.57,2.37,2.21,9.14
