p_mois,p_vol,p_ash,p_car,p_sul,p_hhv,u_car,u_hyd,u_nit
17.73,33.55,27.56,21.17,2.4,3608.9,38.28,4.69,1.36
16.2,33.69,29.48,20.64,2.7,3527.8,37.57,4.53,1.4
14.72,34.01,29.68,21.6,2.8,3652.3,38.81,4.47,1.42
12.3,33.31,36.1,18.31,3.17,3347.3,36.28,4.11,1.3
12.33,33.79,31.12,22.77,3.72,3794.5,39.74,4.34,1.39
12.45,35.09,30,22.48,3.51,3865.4,40.8,4.42,1.43
9.25,33.86,36.44,20.46,3.25,3552.6,37.64,3.92,1.35
11.05,34.19,32.42,22.34,3.31,3753.7,39.63,4.16,1.39
11.99,35.09,30.85,22.08,3.51,3793.6,40.38,4.29,1.38
9.72,34.01,36.38,19.9,3.08,3555.7,37.5,3.94,1.42
9.92,35.71,31.13,23.25,3.44,3929.8,41.98,4.14,1.48
9.18,35.14,33.47,22.22,3.89,3813.7,40.55,4.05,1.5
9.73,33.95,35.44,20.89,3.21,3619.6,38.09,3.87,1.43
9.63,35.82,33.62,20.95,4.44,3834.8,39.93,3.97,1.48
8.3,34.07,36.8,20.84,3.77,3666.2,38.24,3.81,1.41
9.75,34.65,32.87,22.74,3.7,3859.6,40.44,4.11,1.45
12.62,33.06,34.59,19.74,4.03,3488.2,36.53,3.95,1.36
11.72,32.63,37.27,18.39,3.58,3345.6,34.83,3.85,1.25
13.81,35.02,32.36,18.82,3.86,3546.1,38.08,4.36,1.34
11.32,36.18,34.05,18.46,3.7,3569.8,37.49,4.05,1.44
12.44,33.33,35.63,18.62,3.22,3386.4,35.65,4.12,1.29
12.66,34,36.12,17.22,3.58,3340.5,35.56,4.05,1.3
14.85,33.74,32.94,18.47,4.29,3439.6,36.03,4.32,1.34
15.14,34.87,32.76,17.23,4.32,3437.8,35.58,4.29,1.24
14.11,33.26,31.37,21.26,3.35,3618.2,38.25,4.41,1.38
15.09,33.89,32.41,18.61,3.47,3431.4,36.45,4.44,1.35
14.72,33.14,36.03,16.11,4.07,3215,34.03,4.23,1.24
13.66,34.11,34.09,18.14,3.91,3384,36.42,4.24,1.32
13.84,33.95,34.4,17.81,3.47,3303.7,35.95,4.23,1.29
14.59,33.21,34.55,17.65,3.95,3288.8,35.27,4.3,1.27
14.34,34.13,32.7,18.83,3.6,3425.3,36.78,4.35,1.35
15.45,33.05,30.85,20.65,3.2,3514,37.51,4.51,1.34
14.5,33.95,31.89,19.66,3.37,3505.9,37.3,4.39,1.32
15.19,33.25,31.72,19.84,3.68,3519.7,36.72,4.41,1.27
14.8,33.29,33.11,18.8,3.89,3431.6,36.52,4.42,1.28
13.51,34.3,36.82,15.37,4,3200.2,34.38,4.09,1.22
15.2,33.46,32.61,18.73,3.56,3397.2,36.54,4.4,1.31
13.75,33.84,34.84,17.57,4.33,3373,36.2,4.29,1.26
12.63,32.08,36.86,18.43,3.39,3280,35.14,4.08,1.27
12.68,32.23,36.22,18.87,3.13,3313.1,35.52,4.06,1.31
12.8,32.44,36.95,17.81,3.26,3237.1,34.87,4.05,1.28
13.48,33.22,33.91,19.39,3.65,3462.3,36.47,4.24,1.33
15.36,32.87,31.05,20.72,3.88,3540.4,37.64,4.6,1.4
13.52,33.49,35,17.99,3.82,3378.9,36.2,4.28,1.34
12.48,32.36,37.41,17.75,2.84,3190.3,34.6,4.16,1.34
13.07,34.5,36.12,16.31,4.14,3321,35.21,4.14,1.28
14.35,32.51,32.8,20.34,3.22,3491.7,36.68,4.42,1.32
