p_mois,p_vol,p_ash,p_car,p_sul,u_hyd
17.73,33.55,27.56,21.17,2.4,4.69
16.2,33.69,29.48,20.64,2.7,4.53
14.72,34.01,29.68,21.6,2.8,4.47
12.3,33.31,36.1,18.31,3.17,4.11
12.33,33.79,31.12,22.77,3.72,4.34
12.45,35.09,30,22.48,3.51,4.42
9.25,33.86,36.44,20.46,3.25,3.92
11.05,34.19,32.42,22.34,3.31,4.16
11.99,35.09,30.85,22.08,3.51,4.29
9.72,34.01,36.38,19.9,3.08,3.94
9.92,35.71,31.13,23.25,3.44,4.14
9.18,35.14,33.47,22.22,3.89,4.05
9.73,33.95,35.44,20.89,3.21,3.87
9.63,35.82,33.62,20.95,4.44,3.97
8.3,34.07,36.8,20.84,3.77,3.81
9.75,34.65,32.87,22.74,3.7,4.11
12.62,33.06,34.59,19.74,4.03,3.95
11.72,32.63,37.27,18.39,3.58,3.85
13.81,35.02,32.36,18.82,3.86,4.36
11.32,36.18,34.05,18.46,3.7,4.05
12.44,33.33,35.63,18.62,3.22,4.12
12.66,34,36.12,17.22,3.58,4.05
14.85,33.74,32.94,18.47,4.29,4.32
15.14,34.87,32.76,17.23,4.32,4.29
14.11,33.26,31.37,21.26,3.35,4.41
15.09,33.89,32.41,18.61,3.47,4.44
14.72,33.14,36.03,16.11,4.07,4.23
13.66,34.11,34.09,18.14,3.91,4.24
13.84,33.95,34.4,17.81,3.47,4.23
14.59,33.21,34.55,17.65,3.95,4.3
14.34,34.13,32.7,18.83,3.6,4.35
15.45,33.05,30.85,20.65,3.2,4.51
14.5,33.95,31.89,19.66,3.37,4.39
15.19,33.25,31.72,19.84,3.68,4.41
14.8,33.29,33.11,18.8,3.89,4.42
13.51,34.3,36.82,15.37,4,4.09
15.2,33.46,32.61,18.73,3.56,4.4
13.75,33.84,34.84,17.57,4.33,4.29
12.63,32.08,36.86,18.43,3.39,4.08
12.68,32.23,36.22,18.87,3.13,4.06
12.8,32.44,36.95,17.81,3.26,4.05
13.48,33.22,33.91,19.39,3.65,4.24
15.36,32.87,31.05,20.72,3.88,4.6
13.52,33.49,35,17.99,3.82,4.28
12.48,32.36,37.41,17.75,2.84,4.16
13.07,34.5,36.12,16.31,4.14,4.14
14.35,32.51,32.8,20.34,3.22,4.42
13.23,33.3,34.98,18.49,3.02,4.24
13.66,33.2,35.55,17.59,4.02,4.25
13.21,33.05,35.7,18.04,3.28,4.17
14.73,33.06,32.18,20.03,3.3,4.44
13.37,33.87,36.57,16.19,3.17,4.12
15.36,32.97,30.94,20.73,3.27,4.56
12.8,33.17,34.75,19.28,3.38,4.24
13.93,33.9,30.81,21.36,2.85,4.41
13.31,34.75,27.74,24.2,4.61,4.59
12.56,33.86,34.41,19.17,4.69,4.19
12.61,34.08,35.19,18.12,4.56,4.18
16.44,34.75,26.24,22.57,3.41,4.67
14.42,34,27.93,23.65,3.71,4.36
14.18,35.34,26.61,23.87,2.8,4.61
14.13,33.05,31.32,21.5,2.76,4.17
15.71,33.88,27.04,23.37,3.08,4.66
13.24,34.07,29.93,22.76,3.3,4.35
13.22,32.92,33.42,20.44,2.88,4.21
13.81,33.55,29.86,22.78,3.22,4.32
14.44,34.58,23.9,27.08,3.65,4.68
13.04,32.64,34.23,20.09,3.38,4.17
14.46,33.23,31,21.31,3.6,4.37
12.86,33.61,32.34,21.19,3.53,4.22
12.38,32.82,32.73,22.07,3.7,4.23
12.77,32.69,33.62,20.92,3.84,4.19
11.56,33,37.34,18.1,4.5,4
11.5,34.91,31.05,22.54,3.67,4.3
9.75,35.06,33.21,21.98,3.54,4.03
11.32,35.45,28.56,24.67,3.08,4.35
10.3,35.58,31.23,22.89,3.33,4.13
10.83,34.86,32.51,21.8,3.3,4.09
11.46,33.67,28.95,25.92,3.52,4.41
8.46,36.09,32.24,23.21,3.68,3.86
9.52,36.19,30.7,23.59,3.27,3.95
9.8,35.49,30.29,24.42,3.13,4.03
10.45,34.93,30.98,23.64,3.06,4.07
10.18,35.78,31.54,22.5,3.42,4.06
9.21,34.72,34.33,21.74,2.78,3.82
9.04,35.93,29.45,25.58,3.21,4.24
8.82,35.14,30.64,25.4,2.98,3.98
11.38,35.78,26.95,25.89,3.09,4.42
11.11,35.79,27.74,25.36,3.11,4.25
12.14,36,28.23,23.63,3,4.39
10.27,36.11,31.08,22.54,3.29,4.21
11.25,35.45,30.57,22.73,3.05,4.16
9.31,35.2,33.53,21.96,3.33,3.93
12.52,33.4,33.25,20.83,3.88,4.22
10.31,33.81,35.66,20.22,3.3,3.92
13.63,33.16,32.02,21.19,3.66,4.31
9.61,32.18,39.63,18.58,3.98,3.73
13.79,34.56,28.86,22.79,3.26,4.45
13.5,35.11,32.91,18.48,3.44,4.23
16.15,33.42,29.1,21.33,3.14,4.56
15.81,34.26,26.8,23.13,3.02,4.87
15.01,33.26,31.32,20.41,3.06,4.49
16.49,33.23,30.45,19.83,3.49,4.54
14.36,32.81,33.52,19.31,3.09,4.32
18.38,35.07,23.19,23.36,2.97,4.75
16.08,34.27,28.26,21.39,3.63,4.48
16.77,34.2,24.44,24.59,2.87,4.71
14.05,34.58,29.41,21.96,2.54,4.27
15.79,33.02,29.95,21.24,2.94,4.45
13.76,34.04,31.92,20.28,2.72,4.14
13.93,33.78,30.73,21.56,2.79,4.29
14.96,35,26.77,23.27,2.4,4.45
15.13,35.13,25.52,24.22,2.6,4.48
19.25,34.55,20.56,25.64,2.35,5.08
15.37,32.49,31.39,20.75,3.54,4.32
17.3,33.87,25.7,23.13,2.8,4.67
16.57,33.7,27.11,22.62,3.05,4.6
10.42,36.37,30.16,23.05,2.89,4.03
15.57,35.09,26.22,23.12,3.74,4.67
14.54,35.69,30.76,19.02,3.92,4.42
13.49,35.63,29.94,20.94,4.73,4.46
13.81,35.49,32.6,18.12,3.71,4.32
13.63,35.69,32.18,18.51,4.04,4.29
13.96,35.37,32.29,18.39,2.84,4.32
