p_ar_mois,p_ar_vol,p_ar_ash,p_ar_fc,p_ar_sul,u_ar_car,u_ar_nit,u_ar_hyd_exc,u_ar_oxy_exc
31.94,24.98,26.55,16.53,2.575,28.868,1.077,1.54,7.448
30.65,25.63,27.81,15.91,3.197,29.064,0.957,1.525,6.797
31.63,25.19,26.23,16.95,2.742,29.334,1.02,1.57,7.477
31.48,25.45,25.58,17.49,2.718,29.967,1.037,1.478,7.734
31.21,25.32,27.46,16.01,2.64,28.775,1.038,1.712,7.164
31.15,26.11,25.82,16.92,3.119,29.931,1.024,1.574,7.377
30.27,24.66,29.48,15.59,2.488,27.679,1.006,1.885,7.188
29.65,25.22,28.7,16.43,2.632,28.872,1.079,1.802,7.262
30.22,24.94,28.04,16.8,2.69,28.656,1.062,1.956,7.377
30.32,25.4,28.01,16.27,3.046,28.843,0.987,1.809,6.986
31.46,24.87,27.6,16.07,2.487,28.199,1.028,1.504,7.72
32.6,26.69,23.91,16.8,2.929,30.334,0.984,1.864,7.377
32.11,25.44,24.33,18.12,2.502,30.501,1.096,1.696,7.761
31.6,25.22,25.56,17.62,2.54,29.398,1.107,2.147,7.651
32.39,26.88,23.83,16.9,2.999,30.037,1.016,2.236,7.494
30.84,25.44,25.83,17.89,2.533,29.698,1.077,2.362,7.66
30.68,26.43,25.73,17.16,2.412,30.184,1.196,2.063,7.739
30.71,26.8,24.21,18.28,2.94,32.335,1.198,2.153,6.454
31.36,25.97,24.86,17.81,2.677,31.406,1.195,2.152,6.353
34.51,25.93,21.37,18.19,2.651,30.682,1.088,2.092,7.604
33.83,25.99,20.87,19.31,2.798,31.667,1.122,2.177,7.532
33.8,26.07,20.27,19.86,2.372,32.081,1.169,2.117,8.191
32.76,25.08,25.56,16.6,2.858,28.795,1.001,2.003,7.023
31.45,24.9,25.63,18.02,2.518,30.549,1.162,2.178,6.517
30.9,25.29,25.5,18.31,2.505,31.075,1.215,2.16,6.647
30.48,26.11,27.21,16.2,3.108,30.255,1.09,2.069,5.79
31.06,25.84,24.85,18.25,2.659,31.578,1.197,2.229,6.423
31.13,25.29,24.72,18.86,2.747,31.933,1.221,2.127,6.119
30.28,25.66,27.21,16.85,3.208,30.595,1.057,2.045,5.604
32.43,25.02,22.72,19.83,2.584,32.374,1.241,2.189,6.458
32.25,24.93,25.15,17.67,2.818,30.754,1.19,2.096,5.739
30.85,24.87,26.75,17.53,2.674,30.248,1.16,2.07,6.249
29.65,24.78,28.31,17.26,3.002,30.009,1.045,2.125,5.857
31.01,24.86,25.66,18.47,2.75,31.29,1.157,2.097,6.032
30.68,25.39,25.33,18.6,2.841,31.661,1.188,2.235,6.067
31.01,25.6,23.01,20.38,2.677,33.128,1.262,2.16,6.753
29.6,25.44,29.85,15.11,2.983,28.693,1.034,2.043,5.792
29.35,24.96,27.23,18.46,2.814,29.682,1.07,2.042,7.813
30.93,24.88,25.37,18.82,2.63,31.337,1.179,1.974,6.58
29.04,25.81,26.64,18.51,2.803,30.321,1.091,1.998,8.11
29.67,26.89,27.63,15.81,3.043,30.433,1.118,2.119,5.986
30.71,25.31,25.71,18.27,2.739,31.254,1.191,2.122,6.278
30.62,27,24.59,17.79,3.13,32.338,1.155,2.183,5.989
29.17,26.29,24.78,19.76,2.753,32.17,1.169,2.152,7.801
31.15,26.14,23.99,18.72,2.813,32.376,1.236,2.17,6.265
30.14,26.31,25.84,17.71,3.381,31.74,1.142,2.19,5.567
29.57,27.13,23.63,19.67,3.052,32.254,1.202,2.194,8.096
29.95,25.51,27.5,17.04,3.17,29.43,1.08,2.054,6.815
30.77,27.15,23.28,18.8,2.994,31.875,1.113,2.158,7.805
29.87,26.52,23.68,19.93,2.861,32.225,1.239,2.257,7.866
30.46,26.73,22.44,20.37,2.811,32.295,1.217,2.236,8.541
31.26,26.47,25.5,16.77,3.056,29.796,1.062,2.027,7.294
32.44,26.44,21.32,19.8,2.915,32.171,1.13,2.039,7.984
31.58,26.91,21.36,20.15,3.097,33.073,1.234,2.134,7.517
30.65,27.01,22.75,19.59,3.063,32.644,1.195,2.161,7.539
32.36,25.03,25.33,17.28,2.571,29.075,1.09,1.799,7.772
31.32,25.91,25.31,17.46,3.082,29.928,1.095,1.895,7.374
32.79,26.47,19.23,21.51,2.692,33.552,1.236,2.026,8.472
32.04,26.28,20.94,20.74,2.666,32.692,1.199,2.036,8.43
32.11,25.25,22.91,19.73,2.898,31.304,1.187,1.988,7.602
30.75,25.66,26.18,17.41,2.768,29.89,1.111,1.944,7.357
30.59,25.76,26.78,16.87,3.215,29.527,1.121,1.971,6.797
31.41,25.57,22.88,20.14,2.84,31.708,1.193,2.019,7.946
33.75,26.2,22.12,17.93,2.949,30.842,1.047,2.17,7.12
32.71,25.48,23.46,18.35,2.904,30.274,1.033,2.194,7.426
33.28,25.28,22.64,18.8,2.965,30.428,1.064,2.174,7.451
34.58,26.15,20.6,18.67,3.308,31.496,1.031,2.211,6.773
33.16,25.2,25.38,16.26,2.447,28.861,1.112,1.864,7.177
32.61,25.41,24.98,17,3.2,29.332,1.069,1.965,6.842
30.92,25.76,25.03,18.29,2.544,30.595,1.158,2.024,7.724
30.77,24.97,27.49,16.77,2.472,28.8,1.095,1.91,7.463
31.72,26.56,26.02,15.7,3.193,29.171,1.005,2.007,6.88
31.59,26.7,25.54,16.17,2.794,29.621,1.096,2.036,7.32
31.19,26.19,27.84,14.78,2.899,27.91,1.076,1.956,7.124
31.23,25.6,26.69,16.48,2.672,29.459,1.089,1.952,6.905
