p_ar_mois,p_ar_vol,p_ar_ash,p_ar_fc,p_ar_sul,u_ar_hyd_exc
31.94,24.98,26.55,16.53,2.575,1.54
30.65,25.63,27.81,15.91,3.197,1.525
31.63,25.19,26.23,16.95,2.742,1.57
31.48,25.45,25.58,17.49,2.718,1.478
31.21,25.32,27.46,16.01,2.64,1.712
31.15,26.11,25.82,16.92,3.119,1.574
30.27,24.66,29.48,15.59,2.488,1.885
29.65,25.22,28.7,16.43,2.632,1.802
30.22,24.94,28.04,16.8,2.69,1.956
30.32,25.4,28.01,16.27,3.046,1.809
31.46,24.87,27.6,16.07,2.487,1.504
32.6,26.69,23.91,16.8,2.929,1.864
32.11,25.44,24.33,18.12,2.502,1.696
31.6,25.22,25.56,17.62,2.54,2.147
32.39,26.88,23.83,16.9,2.999,2.236
30.84,25.44,25.83,17.89,2.533,2.362
30.68,26.43,25.73,17.16,2.412,2.063
30.71,26.8,24.21,18.28,2.94,2.153
31.36,25.97,24.86,17.81,2.677,2.152
34.51,25.93,21.37,18.19,2.651,2.092
33.83,25.99,20.87,19.31,2.798,2.177
33.8,26.07,20.27,19.86,2.372,2.117
32.76,25.08,25.56,16.6,2.858,2.003
31.45,24.9,25.63,18.02,2.518,2.178
30.9,25.29,25.5,18.31,2.505,2.16
30.48,26.11,27.21,16.2,3.108,2.069
31.06,25.84,24.85,18.25,2.659,2.229
31.13,25.29,24.72,18.86,2.747,2.127
30.28,25.66,27.21,16.85,3.208,2.045
32.43,25.02,22.72,19.83,2.584,2.189
32.25,24.93,25.15,17.67,2.818,2.096
30.85,24.87,26.75,17.53,2.674,2.07
29.65,24.78,28.31,17.26,3.002,2.125
31.01,24.86,25.66,18.47,2.75,2.097
30.68,25.39,25.33,18.6,2.841,2.235
31.01,25.6,23.01,20.38,2.677,2.16
29.6,25.44,29.85,15.11,2.983,2.043
29.35,24.96,27.23,18.46,2.814,2.042
30.93,24.88,25.37,18.82,2.63,1.974
29.04,25.81,26.64,18.51,2.803,1.998
29.67,26.89,27.63,15.81,3.043,2.119
30.71,25.31,25.71,18.27,2.739,2.122
30.62,27,24.59,17.79,3.13,2.183
