p_mois,p_vol,p_ash,p_car,p_sul,u_nit
18.45,29.93,31.815,19.805,3.085,1.29
16.7,30.78,33.405,19.115,3.84,1.15
17.585,30.36,31.615,20.44,3.305,1.23
18.075,30.425,30.59,20.91,3.25,1.24
15.18,31.225,33.86,19.735,3.255,1.28
16.66,31.6,31.26,20.48,3.775,1.24
13.39,30.635,36.62,19.355,3.09,1.25
15.28,30.37,34.565,19.785,3.17,1.3
11.29,31.705,35.645,21.36,3.42,1.35
13.2,31.645,34.89,20.265,3.795,1.23
16.63,30.25,33.575,19.545,3.025,1.25
14.41,33.89,30.365,21.335,3.72,1.25
18.2,30.65,29.32,21.83,3.015,1.32
8.585,33.71,34.155,23.55,3.395,1.48
8.795,36.265,32.145,22.795,4.045,1.37
8.805,33.54,34.06,23.595,3.34,1.42
10.755,34.03,33.12,22.095,3.105,1.54
10.92,34.455,31.125,23.5,3.78,1.54
10.37,33.915,32.46,23.255,3.495,1.56
10.33,35.505,29.265,24.9,3.63,1.49
10.38,35.205,28.27,26.145,3.79,1.52
11.66,34.79,27.05,26.5,3.165,1.56
10.005,33.565,34.21,22.22,3.825,1.34
9.77,32.78,33.73,23.72,3.315,1.53
8.985,33.31,33.585,24.12,3.3,1.6
9.42,34.015,35.45,21.115,4.05,1.42
9.005,34.105,32.805,24.085,3.51,1.58
10.885,32.72,31.99,24.405,3.555,1.58
10.99,32.76,34.74,21.51,4.095,1.35
10.69,33.07,30.035,26.205,3.415,1.64
10.075,33.09,33.385,23.45,3.74,1.58
9.355,32.595,35.065,22.985,3.505,1.52
9.79,31.775,36.305,22.13,3.85,1.34
10.55,32.235,33.275,23.94,3.565,1.5
8.985,33.33,33.255,24.43,3.73,1.56
9.785,33.475,30.09,26.65,3.5,1.65
8.777,32.965,38.685,19.573,3.865,1.34
10.24,31.71,34.595,23.455,3.575,1.36
12.145,31.645,32.27,23.94,3.345,1.5
11.515,32.185,33.215,23.085,3.495,1.36
9.388,34.64,35.6,20.372,3.92,1.44
9.812,32.94,33.46,23.788,3.565,1.55
10.49,34.835,31.72,22.955,4.037,1.49
9.707,33.51,31.595,25.189,3.51,1.49
10.3,34.055,31.255,24.39,3.665,1.61
9.495,34.08,33.475,22.95,4.38,1.48
10.34,34.54,30.085,25.035,3.885,1.53
9.17,33.08,35.66,22.09,4.11,1.4
9.822,35.36,30.33,24.488,3.9,1.45
9.425,34.255,30.585,25.735,3.695,1.6
9.713,34.705,29.135,26.448,3.65,1.58
10.695,34.395,33.135,21.775,3.97,1.38
12.745,34.15,27.535,25.57,3.765,1.46
12.41,34.45,27.35,25.79,3.965,1.58
11.815,34.34,28.925,24.92,3.895,1.52
13.715,31.925,32.315,22.045,3.28,1.39
13.415,32.67,31.905,22.01,3.885,1.38
14.625,33.63,24.43,27.315,3.42,1.57
13.835,33.32,26.545,26.3,3.38,1.52
13.1,32.315,29.325,25.26,3.71,1.52
12.075,32.585,33.24,22.1,3.515,1.41
11.495,32.845,34.145,21.515,4.1,1.43
13.17,32.37,28.97,25.49,3.595,1.51
8.9,36.03,30.42,24.65,4.055,1.44
8.825,34.53,31.785,24.86,3.935,1.4
9.09,34.45,30.845,25.615,4.04,1.45
9.23,36.28,28.585,25.905,4.59,1.43
12.875,32.845,33.08,21.2,3.19,1.45
11.775,33.265,32.705,22.255,4.19,1.4
11.74,32.915,31.985,23.36,3.25,1.48
11.515,31.915,35.135,21.435,3.16,1.4
11.03,34.605,33.91,20.455,4.16,1.31
10.76,34.825,33.32,21.095,3.645,1.43
10.505,34.065,36.215,19.215,3.77,1.4
12.225,32.68,34.07,21.025,3.41,1.39
10.39,32.005,34.615,22.99,3.265,1.45
10.655,34.55,34.23,20.565,4.14,1.36
9.468,32.72,34.465,23.347,3.355,1.4
9.14,32.535,36.425,21.9,3.33,1.38
11.335,33.46,36.835,18.37,3.625,1.33
11.84,32.97,36.32,18.87,3.915,1.28
12.78,34.49,28.055,24.675,3.8,1.5
12.69,33.48,30.36,23.47,4,1.45
11.315,32.75,33.535,22.4,3.715,1.45
11.625,32.535,33.095,22.745,3.765,1.39
11.49,34.45,29.28,24.78,3.65,1.49
11.58,34.14,32.09,22.19,3.7,1.41
14.94,33.84,25.47,25.75,3.82,1.51
14.205,34.175,22.525,29.095,3.555,1.63
14.795,34.67,22.585,27.95,4.24,1.66
14.08,33.605,24.8,27.515,3.505,1.58
13.225,34.35,28.095,24.33,3.78,1.42
12.45,34.1,29.165,24.285,3.675,1.42
12.705,34.55,28.05,24.695,3.53,1.48
13.01,33.3,30.585,23.105,3.54,1.37
10.635,31.83,34.04,23.495,3.92,1.4
10.11,30.09,37.59,22.21,3.02,1.38
11.24,31.205,32.075,25.48,3.2,1.51
10.92,30.385,36.16,22.535,3.1,1.4
14.72,33.61,29.825,21.845,2.875,1.46
15.05,33.05,29.565,22.335,2.975,1.45
16.66,32.99,28.82,21.53,3.115,1.44
15.79,32.69,27.945,23.575,3.115,1.49
11.33,33.97,27.125,27.575,3.24,1.69
11.95,33.97,26.955,27.125,3.065,1.68
13.795,34.925,22.335,28.945,2.895,1.8
12.61,33.12,26.065,28.205,3.665,1.56
11.31,34.16,29.49,25.04,3.405,1.45
11.55,33.465,32.785,22.2,3.435,1.36
7.71,35.085,30.335,26.87,3.91,1.55
8.55,35.435,29.235,26.78,3.935,1.54
9.97,34.715,28.85,26.465,4.025,1.52
9.525,34.76,29.77,25.945,3.695,1.62
8.17,34.82,31.355,25.655,3.77,1.51
8.855,34.53,32.73,23.885,3.73,1.6
10.14,34.39,29.35,26.12,4.12,1.49
10.66,34.055,30.08,25.205,4.065,1.67
8.24,33.085,34.875,23.8,3.84,1.39
7.97,34.165,30.33,27.535,3.935,1.55
8.33,33.57,31.54,26.56,3.815,1.52
14.6,30.42,34.17,20.81,3.555,1.47
14.6,33.28,26.28,25.84,3.295,1.68
14.29,33.17,27.995,24.545,3.4,1.65
13.585,33.22,28.835,24.36,3.405,1.65
11.645,30.14,34.275,23.94,3.46,1.33
10.95,30.105,35.54,23.405,3.715,1.32
10.78,32.935,30.755,25.53,3.605,1.58
10.225,33.255,30.41,26.11,3.56,1.64
12.5,34.195,31.245,22.06,3.145,1.27
11.3,34.255,30.455,23.99,3.725,1.48
11.405,32.83,31.545,24.22,4,1.52
11.61,31.925,32.87,23.595,3.705,1.38
11.815,32.62,29.475,26.09,3.585,1.64
12.01,31.35,34.89,21.75,3.36,1.37
12.65,31.815,30.835,24.7,3.37,1.52
13.13,31.09,31.44,24.34,3.615,1.48
10.54,33.935,31.905,23.62,4.64,1.46
10.5,33.995,31.655,23.85,4.705,1.49
10.41,34.935,32.695,21.96,4.395,1.49
10.755,34.385,32.185,22.675,4.705,1.55
14.665,32.975,32.465,19.895,3.595,1.46
14.37,31.105,35.74,18.785,3.21,1.35
9.995,34.61,31.485,23.91,3.7,1.5
11.225,34.61,30.835,23.33,3.76,1.55
7.76,29.85,44.845,17.545,3.205,1.22
8.84,30.64,38.8,21.72,3.64,1.34
8.7,29.88,39.815,21.605,3.59,1.33
7.8,30.305,38.045,23.85,4.435,1.29
9.785,30.9,32.89,26.425,3.965,1.4
8.06,30.445,40.3,21.195,3.81,1.3
10.295,31.25,33.095,25.36,3.605,1.42
8.35,31.085,38.235,22.33,3.78,1.32
12.065,29.88,37.205,20.85,3.41,1.27
10.645,30.055,33.725,25.575,3.965,1.42
11.09,30.71,34.59,23.61,3.715,1.34
11.435,30.795,34.11,23.66,3.53,1.34
11.33,31.755,32.265,24.65,3.72,1.4
10.025,30.875,36.415,22.685,3.455,1.35
8.405,28.92,42.955,19.72,3.965,1.19
10.84,31.73,32.645,24.785,3.485,1.42
12.9,34.54,29.55,23.01,3.605,1.36
13.27,34.92,29.015,22.795,4.24,1.38
13.475,35.1,29.65,21.775,3.66,1.35
15.63,33.27,25.93,25.17,3.78,1.41
15.63,34.465,23.98,25.925,3.805,1.44
15.395,33.61,25.455,25.54,3.79,1.47
13.055,32.295,32.155,22.495,3.54,1.32
11.665,36.12,31.99,20.225,4.235,1.32
15.985,32.86,30.295,20.86,3.84,1.32
15.42,34.145,29.325,21.11,4.815,1.24
