ar_mois,ar_vol,ae_ash,ar_fc,ar_sul,ar_hhv,ar_lhv,ar_oxy_exc
31.94,24.98,26.55,16.53,2.575,2685.737,2390.733,7.448
30.65,25.63,27.81,15.91,3.197,2701.634,2411.954,6.797
31.63,25.19,26.23,16.95,2.742,2746.433,2452.708,7.477
31.48,25.45,25.58,17.49,2.718,2803.944,2510.838,7.734
31.21,25.32,27.46,16.01,2.64,2650.168,2358.177,7.164
31.15,26.11,25.82,16.92,3.119,2820.944,2529.201,7.377
30.27,24.66,29.48,15.59,2.488,2581.608,2293.497,7.188
29.65,25.22,28.7,16.43,2.632,2686.205,2400.653,7.262
30.22,24.94,28.04,16.8,2.69,2709.4,2421.495,7.377
30.32,25.4,28.01,16.27,3.046,2703.247,2414.929,6.986
31.46,24.87,27.6,16.07,2.487,2626.964,2333.941,7.72
32.6,26.69,23.91,16.8,2.929,2841.138,2543.408,7.377
32.11,25.44,24.33,18.12,2.502,2827.098,2531.391,7.761
31.6,25.22,25.56,17.62,2.54,2817.137,2523.536,7.651
32.39,26.88,23.83,16.9,2.999,2863.466,2566.603,7.494
30.84,25.44,25.83,17.89,2.533,2825.259,2534.795,7.66
30.68,26.43,25.73,17.16,2.412,2808.108,2518.305,7.739
30.71,26.8,24.21,18.28,2.94,2961.407,2671.479,6.454
31.36,25.97,24.86,17.81,2.677,2876.302,2583.692,6.353
34.51,25.93,21.37,18.19,2.651,2907.46,2601.847,7.604
33.83,25.99,20.87,19.31,2.798,3018.137,2715.331,7.532
33.8,26.07,20.27,19.86,2.372,3007.414,2704.731,8.191
32.76,25.08,25.56,16.6,2.858,2728.172,2429.782,7.023
31.45,24.9,25.63,18.02,2.518,2800.986,2508.004,6.517
30.9,25.29,25.5,18.31,2.505,2869.371,2578.659,6.647
30.48,26.11,27.21,16.2,3.108,2751.874,2462.896,5.79
31.06,25.84,24.85,18.25,2.659,2891.414,2600.042,6.423
31.13,25.29,24.72,18.86,2.747,2927.356,2635.695,6.119
30.28,25.66,27.21,16.85,3.208,2790.89,2502.738,5.604
32.43,25.02,22.72,19.83,2.584,2977.683,2680.656,6.458
32.25,24.93,25.15,17.67,2.818,2819.993,2523.708,5.739
30.85,24.87,26.75,17.53,2.674,2764.466,2473.961,6.249
29.65,24.78,28.31,17.26,3.002,2747.125,2461.573,5.857
31.01,24.86,25.66,18.47,2.75,2857.319,2566.153,6.032
30.68,25.39,25.33,18.6,2.841,2878.991,2589.188,6.067
31.01,25.6,23.01,20.38,2.677,3042.477,2751.311,6.753
29.6,25.44,29.85,15.11,2.983,2568.965,2283.619,5.792
29.35,24.96,27.23,18.46,2.814,2839.906,2555.592,7.813
30.93,24.88,25.37,18.82,2.63,2840.865,2550.029,6.58
29.04,25.81,26.64,18.51,2.803,2895.796,2612.762,8.11
29.67,26.89,27.63,15.81,3.043,2728.981,2443.346,5.986
30.71,25.31,25.71,18.27,2.739,2844.01,2554.083,6.278
30.62,27,24.59,17.79,3.13,2940.202,2650.646,5.989
29.17,26.29,24.78,19.76,2.753,3069.225,2785.655,7.801
31.15,26.14,23.99,18.72,2.813,2965.871,2674.127,6.265
30.14,26.31,25.84,17.71,3.381,2908.883,2621.309,5.567
29.57,27.13,23.63,19.67,3.052,3103.904,2818.682,8.096
29.95,25.51,27.5,17.04,3.17,2811.58,2524.789,6.815
30.77,27.15,23.28,18.8,2.994,3062.877,2772.702,7.805
29.87,26.52,23.68,19.93,2.861,3106.925,2820.465,7.866
30.46,26.73,22.44,20.37,2.811,3105.109,2816.214,8.541
31.26,26.47,25.5,16.77,3.056,2808.226,2516.028,7.294
32.44,26.44,21.32,19.8,2.915,3034.617,2737.549,7.984
31.58,26.91,21.36,20.15,3.097,3130.948,2837.429,7.517
30.65,27.01,22.75,19.59,3.063,3064.189,2774.509,7.539
32.36,25.03,25.33,17.28,2.571,2726.924,2430.186,7.772
31.32,25.91,25.31,17.46,3.082,2800.452,2508.006,7.374
32.79,26.47,19.23,21.51,2.692,3191.645,2893.132,8.472
32.04,26.28,20.94,20.74,2.666,3109.12,2813.702,8.43
32.11,25.25,22.91,19.73,2.898,2986.839,2691.133,7.602
30.75,25.66,26.18,17.41,2.768,2791.744,2501.651,7.357
30.59,25.76,26.78,16.87,3.215,2758.129,2468.697,6.797
31.41,25.57,22.88,20.14,2.84,2994.249,2701.432,7.946
33.75,26.2,22.12,17.93,2.949,2916.669,2614.193,7.12
32.71,25.48,23.46,18.35,2.904,2867.898,2569.715,7.426
33.28,25.28,22.64,18.8,2.965,2888.382,2587.845,7.451
34.58,26.15,20.6,18.67,3.308,3000.152,2694.25,6.773
33.16,25.2,25.38,16.26,2.447,2673.821,2373.78,7.177
32.61,25.41,24.98,17,3.2,2793.118,2495.347,6.842
30.92,25.76,25.03,18.29,2.544,2895.511,2604.717,7.724
30.77,24.97,27.49,16.77,2.472,2684.688,2394.513,7.463
31.72,26.56,26.02,15.7,3.193,2756.459,2462.362,6.88
31.59,26.7,25.54,16.17,2.794,2771.774,2478.214,7.32
31.19,26.19,27.84,14.78,2.899,2613.734,2321.825,7.124
31.23,25.6,26.69,16.48,2.672,2738.139,2446.065,6.905
32.03,24.28,26.26,17.43,2.477,2713.187,2417.811,7.708
31.96,26.31,26.07,15.66,3.153,2728.207,2433.12,6.958
32.27,24.48,25.78,17.47,2.51,2752.618,2456.251,7.34
31.65,24.47,27.4,16.48,2.505,2636.353,2342.545,7.243
